scene;video;split
bookstore;video0;train
bookstore;video1;train
bookstore;video2;train
bookstore;video3;train
bookstore;video4;val
bookstore;video5;val
bookstore;video6;val
coupa;video0;train
coupa;video1;train
coupa;video2;val
coupa;video3;test
deathCircle;video0;test
deathCircle;video1;train
deathCircle;video2;train
deathCircle;video3;train
deathCircle;video4;test
gates;video0;train
gates;video1;train
gates;video2;train
gates;video3;train
gates;video4;train
gates;video5;train
gates;video6;test
gates;video7;val
gates;video8;train
hyang;video0;train
hyang;video1;train
hyang;video10;val
hyang;video11;train
hyang;video12;train
hyang;video13;train
hyang;video14;test
hyang;video2;train
hyang;video3;train
hyang;video4;train
hyang;video5;val
hyang;video6;train
hyang;video7;train
hyang;video8;test
hyang;video9;train
little;video0;train
little;video1;val
little;video2;train
little;video3;train
nexus;video0;test
nexus;video1;train
nexus;video10;train
nexus;video11;train
nexus;video2;train
nexus;video3;train
nexus;video4;train
nexus;video5;train
nexus;video6;train
nexus;video7;train
nexus;video8;train
nexus;video9;train
quad;video0;test
quad;video1;val
quad;video2;train
quad;video3;test
